location_resolved,display_date,title,harga,Merek,Model,Varian,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Tipe bodi,Kapasitas mesin,Tipe Penjual,Nama Bursa Mobil
Ngaglik,2022-12-21T07:11:44+0000,[DP8JT] VIOS G 1.5 MANUAL 2017 ISTIMEWA,138000000.0,Toyota,Vios,1.5 G Bensin-MT,2017,85.000-90.000,Bensin,Hitam,Manual,Sedan,>1.000 - 1.500 cc,Diler,
Piyungan,2022-12-20T11:05:44+0000,Yaris E Upgrade TRD Sportivo 1.5 M/T Th’2008,97900000.0,Toyota,Yaris,toyota-yaris-67591-e,2008,145.000-150.000,Bensin,Silver,Manual,,>1.000 - 1.500 cc,Diler,
Wates,2022-12-22T07:40:38+0000,[PAJAK PANJANG] Yaris TRD Sportivo m/t 2012 Silver,121000000.0,Toyota,Yaris,toyota-yaris-67596-trd-sportivo,2012,85.000-90.000,Bensin,Silver,Manual,Compact & City Car,>1.000 - 1.500 cc,Individu,
Wonosari,2022-12-22T07:40:07+0000,Toyota Camry 2.5 V Bensin a/t 2014 Hitam,221000000.0,Toyota,Camry,2.5 V Bensin-AT,2014,55.000-60.000,Bensin,Hitam,Automatic,Sedan,>2.000 - 3.000 cc,Individu,
Pleret,2022-12-22T09:45:17+0000,Avanza G thn 2015 asli ab manual,133000000.0,Toyota,Avanza,1.3 G Bensin-MT,2015,90.000-95.000,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,,
Depok,2022-12-22T09:25:14+0000,[TDP] 15JT Toyota Rush S  2013 Bensin,140000000.0,Toyota,Rush,1.5 S Bensin-AT,2013,85.000-90.000,Bensin,Abu-abu,Automatic,Jeep,>1.000 - 1.500 cc,Individu,
Tegalrejo,2022-12-22T09:08:34+0000,"Fortuner 2,7 G 2011 Asli AB tangan 1 “metic”",180000000.0,Toyota,Fortuner,2.7 G Luxury Bensin-AT,2011,95.000-100.000,Bensin,Putih,Automatic,SUV,>2.000 - 3.000 cc,Diler,Carsentro Yogyakarta
Gamping,2022-12-22T08:52:11+0000,Avanza G M/T 2009,100000000.0,Toyota,Avanza,1.3 G Bensin-MT,2009,100.000-105.000,Bensin,Hitam,Manual,MPV,>1.000 - 1.500 cc,Individu,
Gondokusuman,2022-12-22T07:54:44+0000,Toyota Agya 2015 Bensin,95000000.0,Toyota,Agya,1.0 G Bensin-MT,2015,65.000-70.000,Bensin,Hitam,Manual,,,Individu,
Mlati,2022-12-22T07:52:34+0000,Toyota innova diesel 2.4 G 2022 AT,435000000.0,Toyota,Kijang Innova,2.4 G Solar-AT,2022,0-5.000,Diesel,Hitam,Automatic,Minibus,>2.000 - 3.000 cc,,
Sleman,2022-12-22T07:47:20+0000,Toyota Calya 2017 Bensin,122000000.0,Toyota,Calya,1.2 G Bensin-AT,2017,65.000-70.000,Bensin,Abu-abu,Automatic,,,Diler,
Sleman,2022-12-22T07:44:21+0000,[OLX Autos]DP 5JT! Yaris 1.5 TRD Sportivo Manual 2019 #AR ROZZAQ,210000000.0,Toyota,Yaris,1.5 TRD Sportivo Bensin-MT,2019,20.000-25.000,Bensin,Hitam,Manual,,>1.000 - 1.500 cc,Diler,
Jetis,2022-12-22T07:41:30+0000,[OLXAutos] Toyota Raize GR Sport a/t 2022 Putih,225000000.0,Toyota,Raize,mobil-bekas-toyota-raize-1.0-turbo-gr-sport-bensin,2021,10.000-15.000,Bensin,Putih,Automatic Triptonic,,>1.000 - 1.500 cc,Individu,
Depok,2022-12-22T07:41:14+0000,[OLXAutos] Toyota Innova 2.0 G Bensin m/t 2016 Putih,230000000.0,Toyota,Kijang Innova,kijang-innova-2.0-g-bensin,2016,100.000-105.000,Bensin,Putih,Manual,MPV,>1.500 - 2.000 cc,Individu,
Jetis,2022-12-22T07:41:02+0000,[PLAT AB] Toyota Innova G Diesel 2.4 a/t 2017 Hitam,294000000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2017,125.000-130.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Individu,
Bantul,2022-12-22T07:41:01+0000,[DIESEL] Toyota Innova G Diesel 2.4 a/t 2017 Hitam,294000000.0,Toyota,Kijang Innova,2.0 G Bensin-AT,2017,125.000-130.000,Diesel,Hitam,Automatic,MPV,>2.000 - 3.000 cc,Individu,
